Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
AIN,01120 STE CROIX,1,560,178.57
AIN,01150 SAULT BRENAZ,1,1022,97.85
AIN,01170 SEGNY,1,2728,36.66
AIN,01470 SERRIERES DE BRIORD,4,1370,291.97
AIN,01420 SEYSSEL,1,1019,98.14
AIN,01400 SULIGNAT,1,619,161.55
AIN,01510 TALISSIEU,2,520,384.62
AIN,01230 TENAY,2,1032,193.8
AIN,01710 THOIRY,3,6507,46.1
AIN,01140 THOISSEY,4,1652,242.13
AIN,01250 TOSSIAT,2,1417,141.14
AIN,01390 TRAMOYES,1,1890,52.91
AIN,01600 TREVOUX,6,7095,84.57
AIN,01370 VAL REVERMONT,5,2547,196.31
AIN,01200 VALSERHONE,22,16463,133.63
AIN,01560 VERNOUX,2,300,666.67
AIN,01210 VERSONNEX,2,2295,87.15
AIN,01330 VILLARS LES DOMBES,13,5153,252.28
AIN,01250 VILLEREVERSURE,6,1418,423.13
AIN,01800 VILLIEU LOYES MOLLON,4,3905,102.43
AIN,01440 VIRIAT,21,7086,296.36
AIN,01510 VIRIEU LE GRAND,2,1134,176.37
AIN,01300 VIRIGNIN,1,1143,87.49
AIN,01540 VONNAS,4,3277,122.06
AISNE,02290 AMBLENY,1,1254,79.74
AISNE,02320 ANIZY LE GRAND,4,2549,156.92
AISNE,02840 ATHIES SOUS LAON,2,2656,75.3
AISNE,02500 AUBENTON,2,665,300.75
AISNE,02000 AULNOIS SOUS LAON,1,1394,71.74
AISNE,02850 BARZY SUR MARNE,1,403,248.14
AISNE,02110 BEAUREVOIR,3,1344,223.21
AISNE,02160 BEAURIEUX,3,825,363.64
AISNE,02800 BEAUTOR,2,2658,75.24
AISNE,02200 BELLEU,8,3690,216.8
AISNE,02400 BEZU ST GERMAIN,1,1017,98.33
AISNE,02300 BLERANCOURT,2,1268,157.73
AISNE,02110 BOHAIN EN VERMANDOIS,18,5796,310.56
AISNE,02450 BOUE,2,1321,151.4
AISNE,02160 BOURG ET COMIN,2,822,243.31
AISNE,02220 BRAINE,7,2275,307.69
AISNE,02320 BRANCOURT EN LAONNOIS,1,721,138.7
AISNE,02400 BRASLES,3,1748,171.62
AISNE,02360 BRUNEHAMEL,1,466,214.59
AISNE,02860 BRUYERES ET MONTBERAULT,3,1463,205.06
AISNE,02880 BUCY LE LONG,3,1949,153.93
AISNE,02620 BUIRONFOSSE,2,1139,175.59
AISNE,02000 CHAMBRY,1,854,117.1
AISNE,02310 CHARLY SUR MARNE,5,2621,190.77
AISNE,02800 CHARMES,1,1622,61.65
AISNE,02400 CHATEAU THIERRY,43,15381,279.57
AISNE,02300 CHAUNY,42,11871,353.8
AISNE,02270 CHEVRESIS MONCEAU,1,338,295.86
AISNE,02570 CHEZY SUR MARNE,2,1336,149.7
AISNE,02400 CHIERRY,2,1189,168.21
AISNE,02600 COEUVRES ET VALSERY,1,0,0.0
AISNE,02210 COINCY,2,1294,154.56
AISNE,02330 CONDE EN BRIE,2,671,298.06
AISNE,02700 CONDREN,1,691,144.72
AISNE,02820 CORBENY,3,855,350.88
AISNE,02380 COUCY LE CHATEAU AUFFRIQUE,4,1004,398.41
AISNE,02200 COURMELLES,2,1872,106.84
AISNE,02850 COURTEMONT VARENNES,1,358,279.33
AISNE,02600 COYOLLES,10,374,2673.8
AISNE,02270 CRECY SUR SERRE,4,1504,265.96
AISNE,02870 CREPY,2,1842,108.58
AISNE,02650 CREZANCY,1,1293,77.34
AISNE,02880 CROUY,5,3079,162.39
AISNE,02880 CUFFIES,1,1785,56.02
AISNE,02340 DIZY LE GROS,1,738,135.5
AISNE,02690 ESSIGNY LE GRAND,1,1085,92.17
AISNE,02400 ESSOMES SUR MARNE,5,2763,180.96
AISNE,02400 ETAMPES SUR MARNE,4,1359,294.33
AISNE,02580 ETREAUPONT,1,856,116.82
AISNE,02590 ETREILLERS,2,1198,166.94
AISNE,02510 ETREUX,2,1466,136.43
AISNE,02130 FERE EN TARDENOIS,8,2919,274.07
AISNE,02520 FLAVY LE MARTEL,3,1734,173.01
AISNE,02670 FOLEMBRAY,1,1374,72.78
AISNE,02140 FONTAINE LES VERVINS,1,1053,94.97
AISNE,02760 FRANCILLY SELENCY,1,528,189.39
AISNE,02230 FRESNOY LE GRAND,4,2981,134.18
AISNE,02430 GAUCHY,8,5265,151.95
AISNE,02120 GUISE,24,4569,525.28
AISNE,02100 HARLY,3,1588,188.92
AISNE,02500 HIRSON,28,8699,321.88
AISNE,02760 HOLNON,3,1374,218.34
AISNE,02720 HOMBLIERES,1,1459,68.54
AISNE,02850 JAULGONNE,2,681,293.69
AISNE,02480 JUSSY,1,1206,82.92
AISNE,02260 LA CAPELLE,9,1827,492.61
AISNE,02800 LA FERE,15,2990,501.67
AISNE,02460 LA FERTE MILON,3,2139,140.25
AISNE,02250 LA NEUVILLE BOSMONT,1,192,520.83
AISNE,02140 LA VALLEE AU BLE,1,363,275.48
AISNE,02000 LAON,83,24678,336.33
AISNE,02420 LE CATELET,4,191,2094.24
AISNE,02170 LE NOUVION EN THIERACHE,8,2507,319.11
AISNE,02100 LESDINS,1,825,121.21
AISNE,02350 LIESSE NOTRE DAME,7,1394,502.15
AISNE,02350 MARCHAIS,1,403,248.14
AISNE,02250 MARLE,6,2251,266.55
AISNE,02120 MARLY GOMONT,1,493,202.84
AISNE,02200 MERCIN ET VAUX,1,965,103.63
AISNE,02240 MEZIERES SUR OISE,2,520,384.62
AISNE,02500 MONDREPUIS,1,1051,95.15
AISNE,02000 MONS EN LAONNOIS,1,1165,85.84
AISNE,02390 MONT D ORIGNY,1,843,118.62
AISNE,02340 MONTCORNET,6,1237,485.04
AISNE,02440 MONTESCOURT LIZEROLLES,1,1645,60.79
AISNE,02310 MONTREUIL AUX LIONS,1,1349,74.13
AISNE,02610 MOY DE L AISNE,2,1001,199.8
AISNE,02470 NEUILLY ST FRONT,3,2000,150.0
AISNE,02500 NEUVE MAISON,1,617,162.07
AISNE,02310 NOGENT L ARTAUD,2,2132,93.81
AISNE,02300 OGNES,1,1137,87.95
AISNE,02550 ORIGNY EN THIERACHE,3,1375,218.18
AISNE,02390 ORIGNY STE BENOITE,7,1623,431.3
AISNE,02210 OULCHY LE CHATEAU,2,821,243.61
AISNE,02320 PINON,2,1677,119.26
AISNE,02320 PREMONTRE,3,602,498.34
AISNE,02120 PROISY,2,334,598.8
AISNE,02240 RIBEMONT,2,1944,102.88
AISNE,02360 ROZOY SUR SERRE,4,934,428.27
AISNE,02120 SAINS RICHAUMONT,2,964,207.47
AISNE,02820 ST ERME OUTRE ET RAMECOURT,11,1726,637.31
AISNE,02410 ST GOBAIN,6,2351,255.21
AISNE,02830 ST MICHEL,10,3274,305.44
AISNE,02100 ST QUENTIN,135,54123,249.43
AISNE,02110 SEBONCOURT,2,1095,182.65
AISNE,02300 SINCENY,3,2028,147.93
AISNE,02150 SISSONNE,6,2150,279.07
AISNE,02200 SOISSONS,99,29320,337.65
AISNE,02700 TERGNIER,22,13469,163.34
AISNE,02120 TUPIGNY,1,338,295.86
AISNE,02000 URCEL,2,551,362.98
AISNE,02370 VAILLY SUR AISNE,3,2058,145.77
AISNE,02110 VAUX ANDIGNY,1,940,106.38
AISNE,02800 VENDEUIL,1,943,106.04
AISNE,02420 VENDHUILE,1,582,171.82
AISNE,02200 VENIZEL,1,1358,73.64
AISNE,02400 VERDILLY,1,470,212.77
AISNE,02490 VERMAND,1,1129,88.57
AISNE,02140 VERVINS,8,2648,302.11
AISNE,02290 VIC SUR AISNE,2,1630,122.7
AISNE,02200 VILLENEUVE ST GERMAIN,3,2623,114.37
AISNE,02190 VILLENEUVE SUR AISNE,3,2821,106.35
AISNE,02300 VILLEQUIER AUMONT,1,697,143.47
