Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
CHARENTE MARITIME,17700 SURGERES,13,7029,184.95
CHARENTE MARITIME,17350 TAILLEBOURG,1,808,123.76
CHARENTE MARITIME,17460 TESSON,1,1166,85.76
CHARENTE MARITIME,17460 THENAC,1,1963,50.94
CHARENTE MARITIME,17600 THEZAC,1,341,293.26
CHARENTE MARITIME,17380 TONNAY BOUTONNE,3,1204,249.17
CHARENTE MARITIME,17430 TONNAY CHARENTE,10,8360,119.62
CHARENTE MARITIME,17250 TRIZAY,1,1535,65.15
CHARENTE MARITIME,17640 VAUX SUR MER,10,4104,243.66
CHARENTE MARITIME,17330 VILLENEUVE LA COMTESSE,2,757,264.2
CHARENTE MARITIME,17340 YVES,3,1533,195.69
CHER,18410 ARGENT SUR SAULDRE,4,2067,193.52
CHER,18700 AUBIGNY SUR NERE,14,5554,252.07
CHER,18520 AVORD,4,2949,135.64
CHER,18800 BAUGY,6,1665,360.36
CHER,18240 BELLEVILLE SUR LOIRE,2,1016,196.85
CHER,18410 BLANCAFORT,1,1019,98.14
CHER,18350 BLET,1,569,175.75
CHER,18240 BOULLERET,2,1424,140.45
CHER,18000 BOURGES,168,66277,253.48
CHER,18410 BRINON SUR SAULDRE,2,988,202.43
CHER,18200 BRUERE ALLICHAMPS,1,574,174.22
CHER,18210 CHARENTON DU CHER,3,1012,296.44
CHER,18290 CHAROST,1,921,108.58
CHER,18370 CHATEAUMEILLANT,4,1683,237.67
CHER,18190 CHATEAUNEUF SUR CHER,7,1373,509.83
CHER,18160 CHEZAL BENOIT,4,772,518.13
CHER,18270 CULAN,1,782,127.88
CHER,18200 DREVANT,2,570,350.88
CHER,18130 DUN SUR AURON,9,3638,247.39
CHER,18500 FOECY,1,2087,47.92
CHER,18110 FUSSY,2,1948,102.67
CHER,18310 GRACAY,3,1258,238.47
CHER,18250 HENRICHEMONT,5,1740,287.36
CHER,18320 JOUET SUR L AUBOIS,1,1336,74.85
CHER,18360 LA CELETTE,1,206,485.44
CHER,18380 LA CHAPELLE D ANGILLON,3,619,484.65
CHER,18570 LA CHAPELLE ST URSIN,1,3765,26.56
CHER,18150 LA GUERCHE SUR L AUBOIS,4,3221,124.19
CHER,18170 LE CHATELET,4,930,430.11
CHER,18240 LERE,3,1124,266.9
CHER,18220 LES AIX D ANGILLON,4,1900,210.53
CHER,18340 LEVET,2,1412,141.64
CHER,18160 LIGNIERES,10,1345,743.49
CHER,18400 LUNERY,1,1536,65.1
CHER,18120 LURY SUR ARNON,1,678,147.49
CHER,18170 MARCAIS,1,310,322.58
CHER,18500 MARMAGNE,1,1964,50.92
CHER,18320 MARSEILLES LES AUBIGNY,1,659,151.75
CHER,18120 MASSAY,4,1371,291.76
CHER,18500 MEHUN SUR YEVRE,9,6481,138.87
CHER,18510 MENETOU SALON,2,1657,120.7
CHER,18120 MEREAU,4,2714,147.38
CHER,18380 MERY ES BOIS,1,546,183.15
CHER,18330 NANCAY,1,788,126.9
CHER,18350 NERONDES,7,1432,488.83
CHER,18330 NEUVY SUR BARANGEON,2,1143,174.98
CHER,18390 NOHANT EN GOUT,1,561,178.25
CHER,18200 ORVAL,6,1664,360.58
CHER,18390 OSMOY,2,302,662.25
CHER,18340 PLAIMPIED GIVAUDINS,1,2154,46.43
CHER,18140 PRECY,1,356,280.9
CHER,18200 ST AMAND MONTROND,42,9997,420.13
CHER,18230 ST DOULCHARD,20,9877,202.49
CHER,18110 ST ELOY DE GY,1,1604,62.34
CHER,18400 ST FLORENT SUR CHER,15,6510,230.41
CHER,18100 ST GEORGES SUR LA PREE,1,609,164.2
CHER,18390 ST GERMAIN DU PUY,4,4921,81.28
CHER,18320 ST HILAIRE DE GONDILLY,1,137,729.93
CHER,18110 ST MARTIN D AUXIGNY,3,2563,117.05
CHER,18300 ST SATUR,4,1440,277.78
CHER,18220 STE SOLANGE,1,1132,88.34
CHER,18140 SANCERGUES,4,637,627.94
CHER,18300 SANCERRE,13,1362,954.48
CHER,18600 SANCOINS,8,2978,268.64
CHER,18360 SAULZAIS LE POTIER,3,488,614.75
CHER,18240 SAVIGNY EN SANCERRE,3,1133,264.78
CHER,18300 SURY EN VAUX,1,696,143.68
CHER,18570 TROUY,3,4124,72.74
CHER,18260 VAILLY SUR SAULDRE,1,664,150.6
CHER,18300 VEAUGUES,6,620,967.74
CHER,18360 VESDUN,4,554,722.02
CHER,18100 VIERZON,60,25707,233.4
CHER,18500 VIGNOUX SUR BARANGEON,4,2088,191.57
CHER,18330 VOUZERON,1,597,167.5
CORREZE,19380 ALBUSSAC,1,747,133.87
CORREZE,19240 ALLASSAC,4,4147,96.46
CORREZE,19400 ARGENTAT SUR DORDOGNE,11,2972,370.12
CORREZE,19230 ARNAC POMPADOUR,5,1219,410.17
CORREZE,19190 AUBAZINES,1,879,113.77
CORREZE,19310 AYEN,1,719,139.08
CORREZE,19120 BEAULIEU SUR DORDOGNE,4,1328,301.2
CORREZE,19190 BEYNAT,5,1306,382.85
CORREZE,19170 BONNEFOND,2,114,1754.39
CORREZE,19110 BORT LES ORGUES,16,2554,626.47
CORREZE,19100 BRIVE LA GAILLARDE,119,47948,248.19
CORREZE,19170 BUGEAT,4,751,532.62
CORREZE,19350 CHABRIGNAC,1,547,182.82
CORREZE,19370 CHAMBERET,6,1438,417.25
CORREZE,19450 CHAMBOULIVE,2,1185,168.78
CORREZE,19140 CONDAT SUR GANAVEIX,2,662,302.11
CORREZE,19150 CORNIL,5,1303,383.73
CORREZE,19800 CORREZE,6,1207,497.1
CORREZE,19360 COSNAC,2,3139,63.71
CORREZE,19520 CUBLAC,1,1768,56.56
CORREZE,19270 DONZENAC,4,2785,143.63
CORREZE,19300 EGLETONS,9,5070,177.51
CORREZE,19340 EYGURANDE,8,695,1151.08
CORREZE,19430 GOULLES,1,332,301.2
CORREZE,19500 JUGEALS NAZARETH,1,985,101.52
CORREZE,19350 JUILLAC,3,1172,255.97
CORREZE,19700 LAGRAULIERE,1,1215,82.3
CORREZE,19150 LAGUENNE SUR AVALOUZE,3,1592,188.44
CORREZE,19550 LAPLEAU,1,389,257.07
CORREZE,19600 LARCHE,1,1694,59.03
CORREZE,19470 LE LONZAC,1,829,120.63
CORREZE,19160 LIGINIAC,4,691,578.87
CORREZE,19500 LIGNEYRAC,1,300,333.33
CORREZE,19210 LUBERSAC,9,2305,390.46
CORREZE,19360 MALEMORT,17,8152,208.54
CORREZE,19520 MANSAC,6,1562,384.12
CORREZE,19320 MARCILLAC LA CROISILLE,2,867,230.68
CORREZE,19510 MASSERET,2,680,294.12
CORREZE,19430 MERCOEUR,1,0,0.0
CORREZE,19340 MERLINES,4,741,539.81
CORREZE,19250 MEYMAC,6,2525,237.62
CORREZE,19500 MEYSSAC,5,1338,373.69
CORREZE,19340 MONESTIER MERLINES,4,295,1355.93
CORREZE,19460 NAVES,4,2513,159.17
CORREZE,19160 NEUVIC,4,1848,216.45
CORREZE,19130 OBJAT,8,3819,209.48
CORREZE,19410 PERPEZAC LE NOIR,3,1279,234.56
CORREZE,19290 PEYRELEVADE,5,843,593.12
CORREZE,19220 RILHAC XAINTRIE,1,315,317.46
CORREZE,19130 ST AULAIRE,2,786,254.45
CORREZE,19560 ST HILAIRE PEYROUX,1,1011,98.91
CORREZE,19330 ST MEXANT,1,1365,73.26
CORREZE,19600 ST PANTALEON DE LARCHE,1,5128,19.5
CORREZE,19220 ST PRIVAT,5,1058,472.59
CORREZE,19290 ST SETIERS,1,269,371.75
CORREZE,19130 ST SOLVE,1,466,214.59
CORREZE,19230 ST SORNIN LAVOLPS,1,861,116.14
CORREZE,19240 ST VIANCE,2,1927,103.79
CORREZE,19270 STE FEREOLE,2,2109,94.83
CORREZE,19490 STE FORTUNADE,4,1853,215.87
CORREZE,19700 SEILHAC,7,1852,377.97
CORREZE,19190 SERILHAC,1,276,362.32
CORREZE,19220 SERVIERES LE CHATEAU,3,578,519.03
CORREZE,19290 SORNAC,8,780,1025.64
CORREZE,19370 SOUDAINE LAVINADIERE,1,157,636.94
CORREZE,19260 TREIGNAC,5,1340,373.13
CORREZE,19000 TULLE,66,14243,463.39
CORREZE,19500 TURENNE,1,821,121.8
CORREZE,19270 USSAC,1,4391,22.77
CORREZE,19200 USSEL,41,9539,429.81
CORREZE,19140 UZERCHE,10,2863,349.28
CORREZE,19240 VARETZ,4,2484,161.03
CORREZE,19410 VIGEOIS,3,1329,225.73
CORSE DU SUD,20167 AFA,5,3411,146.58
CORSE DU SUD,20090 AJACCIO,154,76164,202.2
CORSE DU SUD,20167 ALATA,4,3718,107.58
CORSE DU SUD,20166 ALBITRECCIA,1,1806,55.37
CORSE DU SUD,20121 AZZANA,1,50,2000.0
CORSE DU SUD,20119 BASTELICA,1,525,190.48
CORSE DU SUD,20129 BASTELICACCIA,3,4368,68.68
CORSE DU SUD,20169 BONIFACIO,6,3329,180.23
CORSE DU SUD,20111 CALCATOGGIO,1,521,191.94
CORSE DU SUD,20130 CARGESE,3,1213,247.32
CORSE DU SUD,20117 CAURO,1,1508,66.31
CORSE DU SUD,20118 COGGIA,2,822,243.31
CORSE DU SUD,20148 COZZANO,1,282,354.61
CORSE DU SUD,20167 CUTTOLI CORTICCHIATO,1,2072,48.26
CORSE DU SUD,20114 FIGARI,2,1775,112.68
CORSE DU SUD,20128 GROSSETO PRUGNA,3,3382,88.7
CORSE DU SUD,20170 LEVIE,5,682,733.14
CORSE DU SUD,20117 OCANA,1,653,153.14
CORSE DU SUD,20113 OLMETO,1,1291,77.46
CORSE DU SUD,20147 OSANI,1,95,1052.63
CORSE DU SUD,20150 OTA,1,479,208.77
CORSE DU SUD,20167 PERI,3,2087,143.75
CORSE DU SUD,20140 PETRETO BICCHISANO,2,586,341.3
CORSE DU SUD,20131 PIANOTTOLI CALDARELLO,1,816,122.55
CORSE DU SUD,20166 PIETROSELLA,1,2062,48.5
CORSE DU SUD,20125 POGGIOLO,1,107,934.58
CORSE DU SUD,20137 PORTO VECCHIO,31,11709,264.75
CORSE DU SUD,20110 PROPRIANO,11,3898,282.2
CORSE DU SUD,20112 STE LUCIE DE TALLANO,1,388,257.73
CORSE DU SUD,20190 SANTA MARIA SICHE,1,380,263.16
CORSE DU SUD,20145 SARI SOLENZARA,2,1468,136.24
CORSE DU SUD,20167 SARROLA CARCOPINO,5,3300,151.52
CORSE DU SUD,20100 SARTENE,12,3816,314.47
CORSE DU SUD,20140 SERRA DI FERRO,1,721,138.7
CORSE DU SUD,20146 SOTTA,1,1893,52.83
CORSE DU SUD,20160 VICO,5,1023,488.76
CORSE DU SUD,20132 ZICAVO,1,210,476.19
CORSE DU SUD,20190 ZIGLIARA,1,133,751.88
CORSE DU SUD,20144 ZONZA,3,2904,103.31
COTE D OR,21700 AGENCOURT,3,469,639.66
COTE D OR,21121 AHUY,8,1726,463.5
COTE D OR,21510 AIGNAY LE DUC,1,269,371.75
COTE D OR,21110 AISEREY,2,1509,132.54
COTE D OR,21400 AISEY SUR SEINE,1,171,584.8
COTE D OR,21150 ALISE STE REINE,3,575,521.74
COTE D OR,21560 ARC SUR TILLE,1,2636,37.94
COTE D OR,21230 ARNAY LE DUC,11,1370,802.92
COTE D OR,21380 ASNIERES LES DIJON,2,1342,149.03
COTE D OR,21130 ATHEE,1,804,124.38
COTE D OR,21130 AUXONNE,22,7681,286.42
COTE D OR,21450 BAIGNEUX LES JUIFS,2,212,943.4
COTE D OR,21200 BEAUNE,57,20848,273.41
COTE D OR,21310 BEIRE LE CHATEL,1,922,108.46
COTE D OR,21490 BELLEFOND,1,943,106.04
COTE D OR,21310 BELLENEUVE,3,1603,187.15
COTE D OR,21310 BEZOUOTTE,2,207,966.18
COTE D OR,21360 BLIGNY SUR OUCHE,3,827,362.76
COTE D OR,21470 BRAZEY EN PLAINE,4,2453,163.07
COTE D OR,21110 BRETENIERE,1,947,105.6
COTE D OR,21220 BROCHON,1,795,125.79
COTE D OR,21400 CHATILLON SUR SEINE,29,5736,505.58
COTE D OR,21300 CHENOVE,27,14461,186.71
COTE D OR,21800 CHEVIGNY ST SAUVEUR,8,11095,72.1
COTE D OR,21160 COUCHEY,2,1129,177.15
COTE D OR,21121 DAIX,1,1555,64.31
COTE D OR,21121 DAROIS,1,498,200.8
COTE D OR,21000 DIJON,291,163169,178.34
COTE D OR,21460 EPOISSES,3,732,409.84
COTE D OR,21320 ESSEY,2,336,595.24
COTE D OR,21400 ETROCHEY,1,211,473.93
COTE D OR,21600 FENAY,1,1765,56.66
COTE D OR,21150 FLAVIGNY SUR OZERAIN,1,276,362.32
COTE D OR,21410 FLEUREY SUR OUCHE,8,1517,527.36
COTE D OR,21610 FONTAINE FRANCAISE,5,906,551.88
COTE D OR,21121 FONTAINE LES DIJON,10,9241,108.21
COTE D OR,21110 GENLIS,13,5170,251.45
COTE D OR,21220 GEVREY CHAMBERTIN,9,3020,298.01
COTE D OR,21580 GRANCEY LE CHATEAU,1,459,217.86
COTE D OR,21150 GRESIGNY STE REINE,1,151,662.25
COTE D OR,21121 HAUTEVILLE LES DIJON,1,1228,81.43
COTE D OR,21120 IS SUR TILLE,13,4379,296.87
COTE D OR,21310 JANCIGNY,1,155,645.16
COTE D OR,21220 L ETANG VERGY,1,213,469.48
COTE D OR,21530 LA ROCHE EN BRENIL,1,923,108.34
COTE D OR,21820 LABERGEMENT LES SEURRE,2,1024,195.31
COTE D OR,21550 LADOIX SERRIGNY,2,1831,109.23
COTE D OR,21330 LAIGNES,4,679,589.1
COTE D OR,21760 LAMARCHE SUR SAONE,1,1389,71.99
COTE D OR,21430 LIERNAIS,2,488,409.84
COTE D OR,21110 LONGEAULT PLUVAULT,1,1177,84.96
COTE D OR,21600 LONGVIC,10,8927,112.02
COTE D OR,21520 LOUESME,1,115,869.57
COTE D OR,21120 LUX,1,517,193.42
COTE D OR,21120 MARCILLY SUR TILLE,1,1762,56.75
COTE D OR,21160 MARSANNAY LA COTE,5,5513,90.69
COTE D OR,21380 MARSANNAY LE BOIS,1,858,116.55
COTE D OR,21270 MAXILLY SUR SAONE,2,374,534.76
COTE D OR,21380 MESSIGNY ET VANTOUX,7,1723,406.27
COTE D OR,21190 MEURSAULT,1,1413,70.77
COTE D OR,21310 MIREBEAU SUR BEZE,5,1972,253.55
COTE D OR,21500 MONTBARD,23,4875,471.79
COTE D OR,21520 MONTIGNY SUR AUBE,2,258,775.19
COTE D OR,21500 MOUTIERS ST JEAN,2,259,772.2
COTE D OR,21800 NEUILLY CRIMOLOIS,3,3463,86.63
COTE D OR,21340 NOLAY,6,1442,416.09
COTE D OR,21490 NORGES LA VILLE,1,964,103.73
COTE D OR,21700 NUITS ST GEORGES,17,5350,317.76
COTE D OR,21600 OUGES,2,1518,131.75
COTE D OR,21160 PERRIGNY LES DIJON,1,2343,42.68
COTE D OR,21500 PLANAY,1,63,1587.3
COTE D OR,21370 PLOMBIERES LES DIJON,3,2568,116.82
COTE D OR,21270 PONTAILLER SUR SAONE,4,1303,306.98
COTE D OR,21400 POTHIERES,1,195,512.82
COTE D OR,21320 POUILLY EN AUXOIS,9,1674,537.63
COTE D OR,21390 PRECY SOUS THIL,2,731,273.6
COTE D OR,21800 QUETIGNY,22,9244,237.99
COTE D OR,21290 RECEY SUR OURCE,1,343,291.55
COTE D OR,21310 RENEVE,1,491,203.67
COTE D OR,21530 ROUVRAY,2,507,394.48
COTE D OR,21200 RUFFEY LES BEAUNE,1,789,126.74
COTE D OR,21850 ST APOLLINAIRE,10,7634,130.99
COTE D OR,21170 ST JEAN DE LOSNE,6,1010,594.06
COTE D OR,21490 ST JULIEN,6,1769,339.17
COTE D OR,21450 ST MARC SUR SEINE,1,114,877.19
COTE D OR,21230 ST PIERRE EN VAUX,2,142,1408.45
COTE D OR,21440 ST SEINE L ABBAYE,7,366,1912.57
COTE D OR,21400 STE COLOMBE SUR SEINE,1,934,107.07
COTE D OR,21410 STE MARIE SUR OUCHE,1,714,140.06
COTE D OR,21320 STE SABINE,1,180,555.56
COTE D OR,21580 SALIVES,1,199,502.51
COTE D OR,21590 SANTENAY,4,872,458.72
COTE D OR,21210 SAULIEU,15,2352,637.76
COTE D OR,21910 SAULON LA CHAPELLE,3,1050,285.71
COTE D OR,21420 SAVIGNY LES BEAUNE,4,1343,297.84
COTE D OR,21260 SELONGEY,5,2428,205.93
COTE D OR,21140 SEMUR EN AUXOIS,21,4310,487.24
COTE D OR,21800 SENNECEY LES DIJON,2,2184,91.58
COTE D OR,21250 SEURRE,16,2362,677.39
COTE D OR,21540 SOMBERNON,5,1004,498.01
COTE D OR,21240 TALANT,14,12181,114.93
COTE D OR,21270 TALMAY,1,542,184.5
COTE D OR,21110 TART,1,1564,63.94
COTE D OR,21110 THOREY EN PLAINE,3,1155,259.74
COTE D OR,21130 TILLENAY,1,757,132.1
COTE D OR,21490 VAROIS ET CHAIGNOT,1,2101,47.6
COTE D OR,21370 VELARS SUR OUCHE,3,1859,161.38
COTE D OR,21150 VENAREY LES LAUMES,8,2801,285.61
COTE D OR,21520 VEUXHAULLES SUR AUBE,5,214,2336.45
COTE D OR,21200 VIGNOLES,1,965,103.63
COTE D OR,21450 VILLAINES EN DUESMOIS,4,258,1550.39
COTE D OR,21350 VITTEAUX,9,1070,841.12
COTES D ARMOR,22650 BEAUSSAIS SUR MER,2,4448,44.96
COTES D ARMOR,22140 BEGARD,11,4953,222.09
COTES D ARMOR,22810 BELLE ISLE EN TERRE,3,1051,285.44
COTES D ARMOR,22520 BINIC ETABLES SUR MER,6,7232,82.96
COTES D ARMOR,22570 BON REPOS SUR BLAVET,1,1271,78.68
COTES D ARMOR,22390 BOURBRIAC,3,2168,138.38
COTES D ARMOR,22130 BOURSEUL,1,1270,78.74
COTES D ARMOR,22510 BREHAND,2,1730,115.61
COTES D ARMOR,22250 BROONS,10,3005,332.78
COTES D ARMOR,22160 CALLAC DE BRETAGNE,5,2300,217.39
COTES D ARMOR,22350 CAULNES,3,2640,113.64
COTES D ARMOR,22140 CAVAN,4,1605,249.22
COTES D ARMOR,22170 CHATELAUDREN PLOUAGAT,8,4031,198.46
COTES D ARMOR,22320 CORLAY,6,929,645.86
COTES D ARMOR,22130 CORSEUL,2,2321,86.17
COTES D ARMOR,22130 CREHEN,5,1702,293.77
COTES D ARMOR,22100 DINAN,53,15542,341.01
COTES D ARMOR,22250 EREAC,2,688,290.7
COTES D ARMOR,22430 ERQUY,6,4018,149.33
COTES D ARMOR,22630 EVRAN,5,1814,275.63
COTES D ARMOR,22240 FREHEL,2,1638,122.1
COTES D ARMOR,22110 GLOMEL,3,1438,208.62
COTES D ARMOR,22290 GOMMENEC H,1,560,178.57
COTES D ARMOR,22570 GOUAREC,4,935,427.81
COTES D ARMOR,22200 GRACES,2,2647,75.56
COTES D ARMOR,22530 GUERLEDAN,4,2594,154.2
COTES D ARMOR,22200 GUINGAMP,33,7689,429.18
COTES D ARMOR,22600 HEMONSTOIR,2,721,277.39
COTES D ARMOR,22550 HENANBIHEN,1,1460,68.49
COTES D ARMOR,22150 HENON,2,2356,84.89
COTES D ARMOR,22120 HILLION,7,4395,159.27
COTES D ARMOR,22870 ILE DE BREHAT,2,438,456.62
COTES D ARMOR,22270 JUGON LES LACS COMMUNE NOU,4,2579,155.1
COTES D ARMOR,22210 LA CHEZE,2,580,344.83
COTES D ARMOR,22980 LA LANDEC,1,763,131.06
COTES D ARMOR,22440 LA MEAUGON,1,1349,74.13
COTES D ARMOR,22600 LA MOTTE,3,2203,136.18
COTES D ARMOR,22450 LA ROCHE JAUDY,3,3304,90.8
COTES D ARMOR,22405 LAMBALLE CEDEX,8,17405,45.96
COTES D ARMOR,22400 LAMBALLE ARMOR,32,17405,183.86
COTES D ARMOR,22770 LANCIEUX,1,1661,60.2
COTES D ARMOR,22490 LANGROLAY SUR RANCE,1,1032,96.9
COTES D ARMOR,22980 LANGUEDIAS,1,579,172.71
COTES D ARMOR,22360 LANGUEUX,10,8181,122.23
COTES D ARMOR,22300 LANNION,49,21281,230.25
COTES D ARMOR,22410 LANTIC,1,1834,54.53
COTES D ARMOR,22100 LANVALLAY,4,4342,92.12
COTES D ARMOR,22420 LANVELLEC,1,612,163.4
COTES D ARMOR,22290 LANVOLLON,4,1937,206.5
COTES D ARMOR,22100 LE HINGLE,1,948,105.49
COTES D ARMOR,22330 LE MENE,9,6535,137.72
COTES D ARMOR,22460 LE QUILLIO,1,602,166.11
COTES D ARMOR,22420 LE VIEUX MARCHE,2,1305,153.26
COTES D ARMOR,22740 LEZARDRIEUX,2,1669,119.83
COTES D ARMOR,22780 LOGUIVY PLOUGRAS,2,801,249.69
COTES D ARMOR,22700 LOUANNEC,3,3169,94.67
COTES D ARMOR,22540 LOUARGAT,3,2441,122.9
COTES D ARMOR,22600 LOUDEAC,36,10215,352.42
COTES D ARMOR,22340 MAEL CARHAIX,6,1486,403.77
COTES D ARMOR,22550 MATIGNON,5,1762,283.77
COTES D ARMOR,22230 MERDRIGNAC,7,3183,219.92
COTES D ARMOR,22220 MINIHY TREGUIER,7,1287,543.9
COTES D ARMOR,22510 MONCONTOUR DE BRETAGNE,3,758,395.78
COTES D ARMOR,22200 PABU,9,2877,312.83
COTES D ARMOR,22500 PAIMPOL,29,7574,382.89
COTES D ARMOR,22710 PENVENAN,3,2604,115.21
COTES D ARMOR,22700 PERROS GUIREC,11,7399,148.67
COTES D ARMOR,22940 PLAINTEL,5,4647,107.6
COTES D ARMOR,22130 PLANCOET,13,3149,412.83
COTES D ARMOR,22960 PLEDRAN,3,7022,42.72
COTES D ARMOR,22980 PLELAN LE PETIT,3,1980,151.52
COTES D ARMOR,22170 PLELO,2,3369,59.36
COTES D ARMOR,22210 PLEMET,9,3834,234.74
COTES D ARMOR,22640 PLENEE JUGON,7,2578,271.53
COTES D ARMOR,22370 PLENEUF VAL ANDRE,7,4225,165.68
COTES D ARMOR,22190 PLERIN,37,15002,246.63
COTES D ARMOR,22490 PLESLIN TRIGAVOU,3,4127,72.69
COTES D ARMOR,22640 PLESTAN,2,1671,119.69
COTES D ARMOR,22310 PLESTIN LES GREVES,6,3746,160.17
COTES D ARMOR,22610 PLEUBIAN,3,2368,126.69
COTES D ARMOR,22740 PLEUDANIEL,1,946,105.71
COTES D ARMOR,22690 PLEUDIHEN SUR RANCE,2,3051,65.55
COTES D ARMOR,22560 PLEUMEUR BODOU,2,3931,50.88
COTES D ARMOR,22740 PLEUMEUR GAUTIER,1,1205,82.99
COTES D ARMOR,22150 PLOEUC L HERMITAGE,6,0,0.0
COTES D ARMOR,22420 PLOUARET,2,2269,88.14
COTES D ARMOR,22830 PLOUASNE,2,1789,111.79
COTES D ARMOR,22620 PLOUBAZLANEC,1,3117,32.08
COTES D ARMOR,22300 PLOUBEZRE,2,3846,52.0
COTES D ARMOR,22490 PLOUER SUR RANCE,2,3531,56.64
COTES D ARMOR,22470 PLOUEZEC,2,3200,62.5
COTES D ARMOR,22440 PLOUFRAGAN,19,11675,162.74
COTES D ARMOR,22820 PLOUGRESCANT,1,1211,82.58
COTES D ARMOR,22150 PLOUGUENAST LANGAST,2,2444,81.83
COTES D ARMOR,22110 PLOUGUERNEVEL,3,1649,181.93
COTES D ARMOR,22580 PLOUHA,7,4768,146.81
COTES D ARMOR,22200 PLOUISY,6,2287,262.35
COTES D ARMOR,22300 PLOULEC H,1,1645,60.79
COTES D ARMOR,22970 PLOUMAGOAR,6,5525,108.6
COTES D ARMOR,22300 PLOUMILLIAU,2,2528,79.11
COTES D ARMOR,22810 PLOUNEVEZ MOEDEC,1,1497,66.8
COTES D ARMOR,22860 PLOURIVO,3,2323,129.14
COTES D ARMOR,22130 PLUDUNO,1,2271,44.03
COTES D ARMOR,22350 PLUMAUDAN,3,1442,208.04
COTES D ARMOR,22240 PLURIEN,1,1541,64.89
COTES D ARMOR,22200 POMMERIT LE VICOMTE,3,1881,159.49
COTES D ARMOR,22260 PONTRIEUX,4,1027,389.48
COTES D ARMOR,22590 PORDIC,5,7610,65.7
COTES D ARMOR,22140 PRAT,1,1110,90.09
COTES D ARMOR,22120 QUESSOY,1,4147,24.11
COTES D ARMOR,22100 QUEVERT,12,4051,296.22
COTES D ARMOR,22800 QUINTIN,9,2924,307.8
COTES D ARMOR,22110 ROSTRENEN,16,3555,450.07
COTES D ARMOR,22200 ST AGATHON,4,2248,177.94
COTES D ARMOR,22400 ST ALBAN,1,2417,41.37
COTES D ARMOR,22800 ST BRANDAN,3,2333,128.59
COTES D ARMOR,22000 ST BRIEUC,168,45986,365.33
COTES D ARMOR,22600 ST CARADEC,1,1172,85.32
COTES D ARMOR,22380 ST CAST LE GUILDO,5,3432,145.69
COTES D ARMOR,22800 ST DONAN,1,1500,66.67
COTES D ARMOR,22510 ST GLEN,1,677,147.71
COTES D ARMOR,22750 ST JACUT DE LA MER,4,926,431.97
COTES D ARMOR,22170 ST JEAN KERDANIEL,1,701,142.65
COTES D ARMOR,22940 ST JULIEN,1,2121,47.15
COTES D ARMOR,22130 ST LORMEL,1,922,108.46
COTES D ARMOR,22480 ST NICOLAS DU PELEM,2,1578,126.74
COTES D ARMOR,22700 ST QUAY PERROS,1,1343,74.46
COTES D ARMOR,22410 ST QUAY PORTRIEUX,5,3479,143.72
COTES D ARMOR,22100 TADEN,3,2667,112.49
COTES D ARMOR,22560 TREBEURDEN,2,3939,50.77
COTES D ARMOR,22340 TREBRIVAN,1,780,128.21
COTES D ARMOR,22220 TREDARZEC,1,1091,91.66
COTES D ARMOR,22300 TREDREZ LOCQUEMEAU,1,1507,66.36
COTES D ARMOR,22730 TREGASTEL,2,2612,76.57
COTES D ARMOR,22950 TREGUEUX,9,8629,104.3
COTES D ARMOR,22220 TREGUIER,12,2623,457.49
COTES D ARMOR,22660 TRELEVERN,1,1267,78.93
COTES D ARMOR,22100 TRELIVAN,1,2956,33.83
COTES D ARMOR,22440 TREMUSON,2,2274,87.95
COTES D ARMOR,22660 TREVOU TREGUIGNEC,5,1618,309.02
COTES D ARMOR,22460 UZEL PRES L OUST,1,1162,86.06
COTES D ARMOR,22980 VILDE GUINGALAN,1,1321,75.7
COTES D ARMOR,22120 YFFINIAC,7,5082,137.74
CREUSE,23150 AHUN,3,1674,179.21
CREUSE,23380 AJAIN,4,1040,384.62
CREUSE,23700 ARFEUILLE CHATAIN,1,196,510.2
CREUSE,23210 ARRENES,1,209,478.47
CREUSE,23200 AUBUSSON,18,3180,566.04
CREUSE,23700 AUZANCES,3,1171,256.19
CREUSE,23160 AZERABLES,2,820,243.9
CREUSE,23190 BELLEGARDE EN MARCHE,3,360,833.33
CREUSE,23210 BENEVENT L ABBAYE,3,779,385.11
CREUSE,23200 BLESSAC,1,545,183.49
CREUSE,23220 BONNAT,3,1378,217.71
CREUSE,23400 BOURGANEUF,10,2619,381.83
CREUSE,23600 BOUSSAC,5,1254,398.72
CREUSE,23170 BUDELIERE,2,718,278.55
CREUSE,23320 BUSSIERE DUNOISE,4,1059,377.71
CREUSE,23170 CHAMBON SUR VOUEIZE,3,845,355.03
CREUSE,23270 CHATELUS MALVALEIX,3,548,547.45
CREUSE,23130 CHENERAILLES,3,751,399.47
CREUSE,23270 CLUGNAT,2,656,304.88
CREUSE,23260 CROCQ,1,392,255.1
CREUSE,23140 DOMEYROT,1,238,420.17
CREUSE,23800 DUN LE PALESTEL,4,1109,360.69
CREUSE,23110 EVAUX LES BAINS,12,1309,916.73
CREUSE,23340 FAUX LA MONTAGNE,1,458,218.34
CREUSE,23500 FELLETIN,4,1723,232.15
CREUSE,23320 FLEURAT,1,313,319.49
CREUSE,23110 FONTANIERES,1,261,383.14
CREUSE,23290 FURSAC,2,1455,137.46
CREUSE,23350 GENOUILLAC,3,736,407.61
